A B eAA eBB eAB rAA rBB rAB fB logRc W group
L J 1.000000 1.000000 0.700000 0.950000 1.000000 0.975000 0.10 -2.329000 0.425346 3 
L J 1.000000 1.000000 0.800000 0.950000 1.000000 0.975000 0.10 -2.201000 0.442815 3 
L J 1.000000 1.000000 1.300000 0.950000 1.000000 0.975000 0.10 -2.481000 0.465078 3 
L J 1.000000 1.000000 1.400000 0.950000 1.000000 0.975000 0.10 -2.658000 0.475043 3 
L J 1.000000 1.000000 1.500000 0.950000 1.000000 0.975000 0.10 -2.353000 0.470435 3 
L J 1.000000 1.000000 1.600000 0.950000 1.000000 0.975000 0.10 -2.754000 0.459417 3 
L J 1.000000 1.000000 1.700000 0.950000 1.000000 0.975000 0.10 -2.714000 0.450430 3 
L J 1.000000 1.000000 1.800000 0.950000 1.000000 0.975000 0.10 -2.834000 0.481770 3 
L J 1.000000 1.000000 1.900000 0.950000 1.000000 0.975000 0.10 -2.746000 0.475549 3 
L J 1.000000 1.000000 2.000000 0.950000 1.000000 0.975000 0.10 -3.002000 0.483438 3 
L J 1.000000 0.900000 0.400000 0.950000 1.000000 0.975000 0.10 -2.193000 0.387965 3 
L J 1.000000 0.900000 0.500000 0.950000 1.000000 0.975000 0.10 -2.305000 0.417702 3 
L J 1.000000 0.900000 0.600000 0.950000 1.000000 0.975000 0.10 -2.032000 0.341469 3 
L J 1.000000 0.900000 0.700000 0.950000 1.000000 0.975000 0.10 -2.273000 0.452691 3 
L J 1.000000 0.900000 0.800000 0.950000 1.000000 0.975000 0.10 -2.049000 0.309812 3 
L J 1.000000 0.900000 1.000000 0.950000 1.000000 0.975000 0.10 -2.337000 0.440286 3 
L J 1.000000 0.900000 1.100000 0.950000 1.000000 0.975000 0.10 -2.201000 0.452412 3 
L J 1.000000 0.900000 1.200000 0.950000 1.000000 0.975000 0.10 -2.417000 0.415534 3 
L J 1.000000 0.900000 1.300000 0.950000 1.000000 0.975000 0.10 -2.425000 0.447078 3 
L J 1.000000 0.900000 1.400000 0.950000 1.000000 0.975000 0.10 -2.409000 0.402341 3 
L J 1.000000 0.900000 1.500000 0.950000 1.000000 0.975000 0.10 -2.225000 0.476391 3 
L J 1.000000 0.900000 1.600000 0.950000 1.000000 0.975000 0.10 -2.826000 0.466469 3 
L J 1.000000 0.900000 1.700000 0.950000 1.000000 0.975000 0.10 -2.834000 0.475282 3 
L J 1.000000 0.900000 1.800000 0.950000 1.000000 0.975000 0.10 -3.010000 0.478143 3 
L J 1.000000 0.900000 1.900000 0.950000 1.000000 0.975000 0.10 -3.179000 0.502419 3 
L J 1.000000 0.800000 0.400000 0.950000 1.000000 0.975000 0.10 -2.281000 0.402273 3 
L J 1.000000 0.800000 0.500000 0.950000 1.000000 0.975000 0.10 -2.185000 0.392879 3 
L J 1.000000 0.800000 0.600000 0.950000 1.000000 0.975000 0.10 -2.225000 0.423612 3 
L J 1.000000 0.800000 0.700000 0.950000 1.000000 0.975000 0.10 -2.217000 0.397814 3 
L J 1.000000 0.800000 1.200000 0.950000 1.000000 0.975000 0.10 -2.265000 0.425061 3 
L J 1.000000 0.800000 1.300000 0.950000 1.000000 0.975000 0.10 -2.345000 0.464507 3 
L J 1.000000 0.800000 1.400000 0.950000 1.000000 0.975000 0.10 -2.433000 0.441857 3 
L J 1.000000 0.800000 1.500000 0.950000 1.000000 0.975000 0.10 -2.209000 0.469820 3 
L J 1.000000 0.800000 1.600000 0.950000 1.000000 0.975000 0.10 -2.858000 0.468775 3 
L J 1.000000 0.800000 1.700000 0.950000 1.000000 0.975000 0.10 -2.481000 0.471285 3 
L J 1.000000 0.800000 1.800000 0.950000 1.000000 0.975000 0.10 -3.323000 0.471134 3 
L J 1.000000 0.700000 0.400000 0.950000 1.000000 0.975000 0.10 -2.121000 0.236036 3 
L J 1.000000 0.700000 0.500000 0.950000 1.000000 0.975000 0.10 -2.289000 0.435386 3 
L J 1.000000 0.700000 0.600000 0.950000 1.000000 0.975000 0.10 -2.105000 0.380230 3 
L J 1.000000 0.700000 0.700000 0.950000 1.000000 0.975000 0.10 -2.201000 0.432045 3 
L J 1.000000 0.700000 1.100000 0.950000 1.000000 0.975000 0.10 -2.016000 0.481692 3 
L J 1.000000 0.700000 1.200000 0.950000 1.000000 0.975000 0.10 -2.337000 0.454728 3 
L J 1.000000 0.700000 1.300000 0.950000 1.000000 0.975000 0.10 -2.409000 0.404249 3 
L J 1.000000 0.700000 1.400000 0.950000 1.000000 0.975000 0.10 -2.457000 0.478174 3 
L J 1.000000 0.700000 1.500000 0.950000 1.000000 0.975000 0.10 -2.746000 0.463721 3 
L J 1.000000 0.700000 1.600000 0.950000 1.000000 0.975000 0.10 -2.738000 0.496677 3 
L J 1.000000 0.700000 1.700000 0.950000 1.000000 0.975000 0.10 -3.010000 0.473498 3 
L J 1.000000 0.600000 0.300000 0.950000 1.000000 0.975000 0.10 -2.225000 0.422076 3 
L J 1.000000 0.600000 0.400000 0.950000 1.000000 0.975000 0.10 -2.057000 0.411656 3 
L J 1.000000 0.600000 0.500000 0.950000 1.000000 0.975000 0.10 -2.233000 0.421908 3 
L J 1.000000 0.600000 0.600000 0.950000 1.000000 0.975000 0.10 -2.273000 0.426748 3 
L J 1.000000 0.600000 0.700000 0.950000 1.000000 0.975000 0.10 -2.177000 0.465624 3 
L J 1.000000 0.600000 0.800000 0.950000 1.000000 0.975000 0.10 -2.217000 0.440911 3 
L J 1.000000 0.600000 0.900000 0.950000 1.000000 0.975000 0.10 -2.337000 0.433521 3 
L J 1.000000 0.600000 1.100000 0.950000 1.000000 0.975000 0.10 -2.369000 0.433995 3 
L J 1.000000 0.600000 1.200000 0.950000 1.000000 0.975000 0.10 -2.377000 0.450478 3 
L J 1.000000 0.600000 1.300000 0.950000 1.000000 0.975000 0.10 -2.602000 0.460408 3 
L J 1.000000 0.600000 1.400000 0.950000 1.000000 0.975000 0.10 -2.209000 0.466784 3 
L J 1.000000 0.600000 1.500000 0.950000 1.000000 0.975000 0.10 -2.449000 0.476405 3 
L J 1.000000 0.600000 1.600000 0.950000 1.000000 0.975000 0.10 -2.489000 0.471223 3 
L J 1.000000 0.500000 0.300000 0.950000 1.000000 0.975000 0.10 -2.449000 0.424979 3 
L J 1.000000 0.500000 0.400000 0.950000 1.000000 0.975000 0.10 -2.257000 0.416951 3 
L J 1.000000 0.500000 0.500000 0.950000 1.000000 0.975000 0.10 -2.265000 0.409902 3 
L J 1.000000 0.500000 0.600000 0.950000 1.000000 0.975000 0.10 -2.273000 0.367838 3 
L J 1.000000 0.500000 1.000000 0.950000 1.000000 0.975000 0.10 -2.193000 0.380860 3 
L J 1.000000 0.500000 1.100000 0.950000 1.000000 0.975000 0.10 -2.385000 0.415137 3 
L J 1.000000 0.500000 1.200000 0.950000 1.000000 0.975000 0.10 -2.361000 0.448303 3 
L J 1.000000 0.500000 1.300000 0.950000 1.000000 0.975000 0.10 -2.417000 0.449384 3 
L J 1.000000 0.500000 1.400000 0.950000 1.000000 0.975000 0.10 -2.425000 0.456164 3 
L J 1.000000 0.500000 1.500000 0.950000 1.000000 0.975000 0.10 -2.658000 0.446623 3 
L J 1.000000 0.400000 0.300000 0.950000 1.000000 0.975000 0.10 -2.257000 0.419157 3 
L J 1.000000 0.400000 0.400000 0.950000 1.000000 0.975000 0.10 -2.449000 0.404953 3 
L J 1.000000 0.400000 0.500000 0.950000 1.000000 0.975000 0.10 -2.169000 0.385535 3 
L J 1.000000 0.400000 0.900000 0.950000 1.000000 0.975000 0.10 -2.057000 0.411910 3 
L J 1.000000 0.400000 1.100000 0.950000 1.000000 0.975000 0.10 -2.361000 0.432521 3 
L J 1.000000 0.400000 1.200000 0.950000 1.000000 0.975000 0.10 -2.313000 0.438237 3 
L J 1.000000 0.400000 1.300000 0.950000 1.000000 0.975000 0.10 -2.361000 0.473402 3 
L J 1.000000 0.400000 1.400000 0.950000 1.000000 0.975000 0.10 -2.465000 0.448214 3 
L J 1.000000 0.300000 0.300000 0.950000 1.000000 0.975000 0.10 -2.385000 0.391822 3 
L J 1.000000 0.300000 0.400000 0.950000 1.000000 0.975000 0.10 -2.385000 0.433904 3 
L J 1.000000 0.300000 0.500000 0.950000 1.000000 0.975000 0.10 -2.257000 0.370467 3 
L J 1.000000 0.300000 1.000000 0.950000 1.000000 0.975000 0.10 -2.329000 0.443663 3 
L J 1.000000 0.300000 1.100000 0.950000 1.000000 0.975000 0.10 -2.449000 0.448471 3 
L J 1.000000 0.300000 1.200000 0.950000 1.000000 0.975000 0.10 -2.497000 0.459198 3 
L J 1.000000 0.300000 1.300000 0.950000 1.000000 0.975000 0.10 -2.329000 0.453460 3 
L J 1.000000 0.200000 0.300000 0.950000 1.000000 0.975000 0.10 -2.529000 0.472975 3 
L J 1.000000 0.200000 0.400000 0.950000 1.000000 0.975000 0.10 -2.057000 0.402380 3 
L J 1.000000 0.200000 0.900000 0.950000 1.000000 0.975000 0.10 -2.321000 0.391412 3 
L J 1.000000 0.200000 1.000000 0.950000 1.000000 0.975000 0.10 -2.185000 0.411719 3 
L J 1.000000 0.200000 1.100000 0.950000 1.000000 0.975000 0.10 -2.032000 0.294321 3 
L J 1.000000 0.200000 1.200000 0.950000 1.000000 0.975000 0.10 -2.249000 0.415050 3 
L J 1.000000 1.000000 2.250000 0.950000 1.000000 0.975000 0.10 -3.668000 0.490080 3 
L J 1.000000 1.000000 2.500000 0.950000 1.000000 0.975000 0.10 -4.181000 0.508017 3 
L J 1.000000 1.000000 3.000000 0.950000 1.000000 0.975000 0.10 -6.000000 0.530304 3 
L J 1.000000 1.000000 3.500000 0.950000 1.000000 0.975000 0.10 -6.000000 0.533589 3 
L J 1.000000 1.000000 4.000000 0.950000 1.000000 0.975000 0.10 -6.000000 0.537031 3 
L J 1.000000 1.000000 4.500000 0.950000 1.000000 0.975000 0.10 -6.000000 0.528238 3 
L J 1.000000 1.000000 5.000000 0.950000 1.000000 0.975000 0.10 -6.000000 0.557761 3 
L J 1.000000 0.800000 2.000000 0.950000 1.000000 0.975000 0.10 -3.075000 0.502026 3 
L J 1.000000 0.800000 2.250000 0.950000 1.000000 0.975000 0.10 -3.235000 0.503530 3 
L J 1.000000 0.800000 2.750000 0.950000 1.000000 0.975000 0.10 -4.301000 0.510623 3 
L J 1.000000 0.800000 3.250000 0.950000 1.000000 0.975000 0.10 -6.000000 0.510783 3 
L J 1.000000 0.800000 3.750000 0.950000 1.000000 0.975000 0.10 -6.000000 0.522095 3 
L J 1.000000 0.800000 4.250000 0.950000 1.000000 0.975000 0.10 -6.000000 0.527010 3 
L J 1.000000 0.800000 4.500000 0.950000 1.000000 0.975000 0.10 -6.000000 0.538799 3 
L J 1.000000 0.600000 1.800000 0.950000 1.000000 0.975000 0.10 -2.441000 0.491991 3 
L J 1.000000 0.600000 2.000000 0.950000 1.000000 0.975000 0.10 -2.770000 0.499660 3 
L J 1.000000 0.600000 2.500000 0.950000 1.000000 0.975000 0.10 -4.229000 0.525875 3 
L J 1.000000 0.600000 3.000000 0.950000 1.000000 0.975000 0.10 -6.000000 0.515645 3 
L J 1.000000 0.600000 3.500000 0.950000 1.000000 0.975000 0.10 -6.000000 0.520198 3 
L J 1.000000 0.600000 4.000000 0.950000 1.000000 0.975000 0.10 -6.000000 0.548758 3 
L J 1.000000 0.400000 1.600000 0.950000 1.000000 0.975000 0.10 -2.570000 0.457660 3 
L J 1.000000 0.400000 1.800000 0.950000 1.000000 0.975000 0.10 -2.714000 0.492049 3 
L J 1.000000 0.400000 2.250000 0.950000 1.000000 0.975000 0.10 -3.540000 0.464533 3 
L J 1.000000 0.400000 2.750000 0.950000 1.000000 0.975000 0.10 -6.000000 0.506189 3 
L J 1.000000 0.400000 3.250000 0.950000 1.000000 0.975000 0.10 -6.000000 0.534701 3 
L J 1.000000 0.400000 3.500000 0.950000 1.000000 0.975000 0.10 -6.000000 0.523259 3 
L J 1.000000 0.300000 1.500000 0.950000 1.000000 0.975000 0.10 -2.762000 0.446520 3 
L J 1.000000 0.300000 1.750000 0.950000 1.000000 0.975000 0.10 -2.802000 0.472219 3 
L J 1.000000 0.300000 2.250000 0.950000 1.000000 0.975000 0.10 -3.515000 0.511263 3 
L J 1.000000 0.300000 2.750000 0.950000 1.000000 0.975000 0.10 -6.000000 0.506041 3 
L J 1.000000 0.300000 3.250000 0.950000 1.000000 0.975000 0.10 -6.000000 0.511970 3 
L J 1.000000 0.200000 1.500000 0.950000 1.000000 0.975000 0.10 -2.594000 0.437043 3 
L J 1.000000 0.200000 1.750000 0.950000 1.000000 0.975000 0.10 -2.706000 0.472002 3 
L J 1.000000 0.200000 2.250000 0.950000 1.000000 0.975000 0.10 -3.636000 0.506225 3 
L J 1.000000 0.200000 2.750000 0.950000 1.000000 0.975000 0.10 -4.245000 0.516258 3 
L J 1.000000 0.200000 3.000000 0.950000 1.000000 0.975000 0.10 -6.000000 0.516996 3 
L J 1.000000 0.100000 0.300000 0.950000 1.000000 0.975000 0.10 -2.417000 0.431089 3 
L J 1.000000 0.100000 0.500000 0.950000 1.000000 0.975000 0.10 -2.177000 0.437179 3 
L J 1.000000 0.100000 0.750000 0.950000 1.000000 0.975000 0.10 -2.377000 0.452334 3 
L J 1.000000 0.100000 1.000000 0.950000 1.000000 0.975000 0.10 -2.057000 0.436428 3 
L J 1.000000 0.100000 1.250000 0.950000 1.000000 0.975000 0.10 -2.377000 0.448321 3 
L J 1.000000 0.100000 1.500000 0.950000 1.000000 0.975000 0.10 -2.538000 0.465479 3 
L J 1.000000 0.100000 1.750000 0.950000 1.000000 0.975000 0.10 -2.570000 0.482260 3 
L J 1.000000 0.100000 2.000000 0.950000 1.000000 0.975000 0.10 -3.251000 0.487356 3 
L J 1.000000 0.100000 2.250000 0.950000 1.000000 0.975000 0.10 -3.443000 0.497963 3 
L J 1.000000 0.100000 2.500000 0.950000 1.000000 0.975000 0.10 -4.213000 0.500635 3 
L J 1.000000 0.100000 2.750000 0.950000 1.000000 0.975000 0.10 -6.000000 0.502252 3 
L J 1.000000 0.050000 0.300000 0.950000 1.000000 0.975000 0.10 -2.233000 0.394533 3 
L J 1.000000 0.050000 0.500000 0.950000 1.000000 0.975000 0.10 -2.249000 0.415590 3 
L J 1.000000 0.050000 0.750000 0.950000 1.000000 0.975000 0.10 -2.377000 0.460121 3 
L J 1.000000 0.050000 1.000000 0.950000 1.000000 0.975000 0.10 -2.313000 0.441531 3 
L J 1.000000 0.050000 1.250000 0.950000 1.000000 0.975000 0.10 -2.433000 0.471374 3 
L J 1.000000 0.050000 1.500000 0.950000 1.000000 0.975000 0.10 -2.714000 0.471984 3 
L J 1.000000 0.050000 1.750000 0.950000 1.000000 0.975000 0.10 -2.698000 0.480807 3 
L J 1.000000 0.050000 2.000000 0.950000 1.000000 0.975000 0.10 -3.283000 0.497653 3 
L J 1.000000 0.050000 2.250000 0.950000 1.000000 0.975000 0.10 -3.708000 0.500767 3 
L J 1.000000 0.050000 2.500000 0.950000 1.000000 0.975000 0.10 -3.467000 0.498977 3 
L J 1.000000 0.200000 0.800000 0.950000 1.000000 0.975000 0.20 -2.297000 0.422717 3 
L J 1.000000 0.200000 0.750000 0.950000 1.000000 0.975000 0.20 -2.377000 0.448631 3 
L J 1.000000 0.200000 0.700000 0.950000 1.000000 0.975000 0.20 -2.177000 0.444353 3 
L J 1.000000 0.200000 0.650000 0.950000 1.000000 0.975000 0.20 -2.369000 0.416307 3 
L J 1.000000 0.200000 0.600000 0.950000 1.000000 0.975000 0.20 -2.481000 0.442028 3 
L J 1.000000 0.200000 0.500000 0.950000 1.000000 0.975000 0.20 -2.257000 0.462581 3 
L J 1.000000 0.250000 0.900000 0.950000 1.000000 0.975000 0.20 -2.337000 0.416019 3 
L J 1.000000 0.250000 0.850000 0.950000 1.000000 0.975000 0.20 -2.233000 0.439803 3 
L J 1.000000 0.250000 0.800000 0.950000 1.000000 0.975000 0.20 -2.113000 0.343830 3 
L J 1.000000 0.250000 0.750000 0.950000 1.000000 0.975000 0.20 -2.321000 0.442046 3 
L J 1.000000 0.250000 0.700000 0.950000 1.000000 0.975000 0.20 -2.241000 0.409212 3 
L J 1.000000 0.250000 0.650000 0.950000 1.000000 0.975000 0.20 -2.281000 0.427669 3 
L J 1.000000 0.250000 0.600000 0.950000 1.000000 0.975000 0.20 -2.153000 0.363170 3 
L J 1.000000 0.250000 0.550000 0.950000 1.000000 0.975000 0.20 -2.297000 0.438508 3 
L J 1.000000 0.300000 0.950000 0.950000 1.000000 0.975000 0.20 -2.305000 0.431156 3 
L J 1.000000 0.300000 0.900000 0.950000 1.000000 0.975000 0.20 -2.201000 0.232369 3 
L J 1.000000 0.300000 0.850000 0.950000 1.000000 0.975000 0.20 -2.385000 0.446590 3 
L J 1.000000 0.300000 0.800000 0.950000 1.000000 0.975000 0.20 -2.345000 0.463359 3 
L J 1.000000 0.300000 0.750000 0.950000 1.000000 0.975000 0.20 -2.217000 0.419851 3 
L J 1.000000 0.300000 0.700000 0.950000 1.000000 0.975000 0.20 -2.185000 0.390743 3 
L J 1.000000 0.300000 0.600000 0.950000 1.000000 0.975000 0.20 -2.353000 0.423454 3 
L J 1.000000 0.300000 0.550000 0.950000 1.000000 0.975000 0.20 -2.185000 0.454957 3 
L J 1.000000 0.350000 0.950000 0.950000 1.000000 0.975000 0.20 -2.409000 0.441234 3 
L J 1.000000 0.350000 0.900000 0.950000 1.000000 0.975000 0.20 -2.217000 0.437811 3 
L J 1.000000 0.350000 0.850000 0.950000 1.000000 0.975000 0.20 -2.177000 0.416622 3 
L J 1.000000 0.350000 0.800000 0.950000 1.000000 0.975000 0.20 -2.305000 0.420181 3 
L J 1.000000 0.350000 0.750000 0.950000 1.000000 0.975000 0.20 -2.321000 0.438265 3 
L J 1.000000 0.350000 0.700000 0.950000 1.000000 0.975000 0.20 -2.377000 0.415526 3 
L J 1.000000 0.350000 0.650000 0.950000 1.000000 0.975000 0.20 -2.185000 0.412591 3 
L J 1.000000 0.350000 0.600000 0.950000 1.000000 0.975000 0.20 -2.257000 0.393348 3 
L J 1.000000 0.400000 1.000000 0.950000 1.000000 0.975000 0.20 -2.409000 0.453268 3 
L J 1.000000 0.400000 0.850000 0.950000 1.000000 0.975000 0.20 -2.225000 0.434334 3 
L J 1.000000 0.400000 0.800000 0.950000 1.000000 0.975000 0.20 -2.073000 0.358889 3 
L J 1.000000 0.400000 0.750000 0.950000 1.000000 0.975000 0.20 -2.329000 0.381254 3 
L J 1.000000 0.400000 0.700000 0.950000 1.000000 0.975000 0.20 -2.337000 0.407218 3 
L J 1.000000 0.400000 0.650000 0.950000 1.000000 0.975000 0.20 -2.297000 0.460563 3 
L J 1.000000 0.400000 0.600000 0.950000 1.000000 0.975000 0.20 -2.217000 0.360289 3 
L J 1.000000 0.450000 0.900000 0.950000 1.000000 0.975000 0.20 -2.337000 0.468698 3 
L J 1.000000 0.450000 0.850000 0.950000 1.000000 0.975000 0.20 -2.377000 0.408609 3 
L J 1.000000 0.450000 0.800000 0.950000 1.000000 0.975000 0.20 -2.305000 0.391819 3 
L J 1.000000 0.450000 0.750000 0.950000 1.000000 0.975000 0.20 -2.177000 0.420773 3 
L J 1.000000 0.450000 0.700000 0.950000 1.000000 0.975000 0.20 -2.361000 0.416003 3 
L J 1.000000 0.450000 0.650000 0.950000 1.000000 0.975000 0.20 -2.329000 0.445085 3 
L J 1.000000 0.500000 0.900000 0.950000 1.000000 0.975000 0.20 -2.281000 0.427404 3 
L J 1.000000 0.500000 0.800000 0.950000 1.000000 0.975000 0.20 -2.121000 0.327053 3 
L J 1.000000 0.500000 0.700000 0.950000 1.000000 0.975000 0.20 -2.305000 0.444061 3 
L J 1.000000 0.600000 1.000000 0.950000 1.000000 0.975000 0.20 -2.345000 0.468038 3 
L J 1.000000 0.700000 1.000000 0.950000 1.000000 0.975000 0.20 -2.185000 0.448800 3 
L J 1.000000 0.700000 0.900000 0.950000 1.000000 0.975000 0.20 -2.361000 0.453884 3 
L J 1.000000 0.700000 0.800000 0.950000 1.000000 0.975000 0.20 -2.297000 0.440272 3 
L J 1.000000 0.800000 1.100000 0.950000 1.000000 0.975000 0.20 -2.538000 0.435250 3 
L J 1.000000 0.800000 1.000000 0.950000 1.000000 0.975000 0.20 -2.321000 0.437762 3 
L J 1.000000 0.800000 0.900000 0.950000 1.000000 0.975000 0.20 -2.313000 0.425473 3 
L J 1.000000 0.800000 0.800000 0.950000 1.000000 0.975000 0.20 -2.401000 0.433490 3 
L J 1.000000 0.900000 0.900000 0.950000 1.000000 0.975000 0.20 -2.562000 0.420723 3 
L J 1.000000 1.000000 1.200000 0.950000 1.000000 0.975000 0.20 -2.441000 0.466089 3 
L J 1.000000 1.000000 1.100000 0.950000 1.000000 0.975000 0.20 -2.433000 0.459607 3 
