A B eAA eBB eAB rAA rBB rAB fB logRc W group
L J 1.000000 0.050000 0.300000 0.950000 1.000000 0.975000 0.80 -2.994000 0.479240 3 
L J 1.000000 0.050000 0.500000 0.950000 1.000000 0.975000 0.80 -6.000000 0.537896 3 
L J 1.000000 0.050000 0.750000 0.950000 1.000000 0.975000 0.80 -6.000000 0.566100 3 
L J 1.000000 0.050000 1.000000 0.950000 1.000000 0.975000 0.80 -6.000000 0.565700 3 
L J 1.000000 0.050000 1.250000 0.950000 1.000000 0.975000 0.80 -6.000000 0.567987 3 
L J 1.000000 0.050000 1.500000 0.950000 1.000000 0.975000 0.80 -6.000000 0.570238 3 
L J 1.000000 0.050000 1.750000 0.950000 1.000000 0.975000 0.80 -6.000000 0.572015 3 
L J 1.000000 0.050000 2.000000 0.950000 1.000000 0.975000 0.80 -6.000000 0.583220 3 
L J 1.000000 0.050000 2.250000 0.950000 1.000000 0.975000 0.80 -6.000000 0.568930 3 
L J 1.000000 0.050000 2.500000 0.950000 1.000000 0.975000 0.80 -6.000000 0.575058 3 
L J 1.000000 0.200000 0.800000 0.950000 1.000000 0.975000 0.90 -3.195000 0.480557 3 
L J 1.000000 0.200000 0.750000 0.950000 1.000000 0.975000 0.90 -3.107000 0.480231 3 
L J 1.000000 0.200000 0.700000 0.950000 1.000000 0.975000 0.90 -2.642000 0.413767 3 
L J 1.000000 0.200000 0.650000 0.950000 1.000000 0.975000 0.90 -2.850000 0.474218 3 
L J 1.000000 0.200000 0.600000 0.950000 1.000000 0.975000 0.90 -2.706000 0.470246 3 
L J 1.000000 0.200000 0.500000 0.950000 1.000000 0.975000 0.90 -2.433000 0.446304 3 
L J 1.000000 0.250000 0.900000 0.950000 1.000000 0.975000 0.90 -3.099000 0.474731 3 
L J 1.000000 0.250000 0.850000 0.950000 1.000000 0.975000 0.90 -2.706000 0.469373 3 
L J 1.000000 0.250000 0.800000 0.950000 1.000000 0.975000 0.90 -3.002000 0.476785 3 
L J 1.000000 0.250000 0.750000 0.950000 1.000000 0.975000 0.90 -2.706000 0.463902 3 
L J 1.000000 0.250000 0.700000 0.950000 1.000000 0.975000 0.90 -2.385000 0.460641 3 
L J 1.000000 0.250000 0.650000 0.950000 1.000000 0.975000 0.90 -2.393000 0.430123 3 
L J 1.000000 0.250000 0.600000 0.950000 1.000000 0.975000 0.90 -2.778000 0.444776 3 
L J 1.000000 0.250000 0.550000 0.950000 1.000000 0.975000 0.90 -2.521000 0.425526 3 
L J 1.000000 0.300000 0.950000 0.950000 1.000000 0.975000 0.90 -2.409000 0.452878 3 
L J 1.000000 0.300000 0.900000 0.950000 1.000000 0.975000 0.90 -2.666000 0.445665 3 
L J 1.000000 0.300000 0.850000 0.950000 1.000000 0.975000 0.90 -2.562000 0.442768 3 
L J 1.000000 0.300000 0.800000 0.950000 1.000000 0.975000 0.90 -2.562000 0.442076 3 
L J 1.000000 0.300000 0.750000 0.950000 1.000000 0.975000 0.90 -2.433000 0.368605 3 
L J 1.000000 0.300000 0.700000 0.950000 1.000000 0.975000 0.90 -2.433000 0.427766 3 
L J 1.000000 0.300000 0.600000 0.950000 1.000000 0.975000 0.90 -2.449000 0.425662 3 
L J 1.000000 0.300000 0.550000 0.950000 1.000000 0.975000 0.90 -2.449000 0.426321 3 
L J 1.000000 0.350000 0.950000 0.950000 1.000000 0.975000 0.90 -2.393000 0.438704 3 
L J 1.000000 0.350000 0.900000 0.950000 1.000000 0.975000 0.90 -2.409000 0.440715 3 
L J 1.000000 0.350000 0.850000 0.950000 1.000000 0.975000 0.90 -2.529000 0.407127 3 
L J 1.000000 0.350000 0.800000 0.950000 1.000000 0.975000 0.90 -2.265000 0.456810 3 
L J 1.000000 0.350000 0.750000 0.950000 1.000000 0.975000 0.90 -2.417000 0.433512 3 
L J 1.000000 0.350000 0.700000 0.950000 1.000000 0.975000 0.90 -2.361000 0.447619 3 
L J 1.000000 0.350000 0.650000 0.950000 1.000000 0.975000 0.90 -2.409000 0.419248 3 
L J 1.000000 0.350000 0.600000 0.950000 1.000000 0.975000 0.90 -2.297000 0.324603 3 
L J 1.000000 0.400000 1.000000 0.950000 1.000000 0.975000 0.90 -2.465000 0.446302 3 
L J 1.000000 0.400000 0.850000 0.950000 1.000000 0.975000 0.90 -2.385000 0.470367 3 
L J 1.000000 0.400000 0.800000 0.950000 1.000000 0.975000 0.90 -2.385000 0.440259 3 
L J 1.000000 0.400000 0.750000 0.950000 1.000000 0.975000 0.90 -2.393000 0.419366 3 
L J 1.000000 0.400000 0.700000 0.950000 1.000000 0.975000 0.90 -2.377000 0.426659 3 
L J 1.000000 0.400000 0.650000 0.950000 1.000000 0.975000 0.90 -2.257000 0.457027 3 
L J 1.000000 0.400000 0.600000 0.950000 1.000000 0.975000 0.90 -2.177000 0.427975 3 
L J 1.000000 0.450000 0.900000 0.950000 1.000000 0.975000 0.90 -2.329000 0.392786 3 
L J 1.000000 0.450000 0.850000 0.950000 1.000000 0.975000 0.90 -2.241000 0.470296 3 
L J 1.000000 0.450000 0.800000 0.950000 1.000000 0.975000 0.90 -2.401000 0.444974 3 
L J 1.000000 0.450000 0.750000 0.950000 1.000000 0.975000 0.90 -2.385000 0.423845 3 
L J 1.000000 0.450000 0.700000 0.950000 1.000000 0.975000 0.90 -2.225000 0.426606 3 
L J 1.000000 0.450000 0.650000 0.950000 1.000000 0.975000 0.90 -2.417000 0.410285 3 
L J 1.000000 0.500000 0.900000 0.950000 1.000000 0.975000 0.90 -2.305000 0.426670 3 
L J 1.000000 0.500000 0.800000 0.950000 1.000000 0.975000 0.90 -2.385000 0.436225 3 
L J 1.000000 0.500000 0.700000 0.950000 1.000000 0.975000 0.90 -2.457000 0.430607 3 
L J 1.000000 0.600000 1.000000 0.950000 1.000000 0.975000 0.90 -2.321000 0.439775 3 
L J 1.000000 0.700000 1.000000 0.950000 1.000000 0.975000 0.90 -2.177000 0.434475 3 
L J 1.000000 0.700000 0.900000 0.950000 1.000000 0.975000 0.90 -2.369000 0.366931 3 
L J 1.000000 0.700000 0.800000 0.950000 1.000000 0.975000 0.90 -2.377000 0.454900 3 
L J 1.000000 0.800000 1.100000 0.950000 1.000000 0.975000 0.90 -2.329000 0.397959 3 
L J 1.000000 0.800000 1.000000 0.950000 1.000000 0.975000 0.90 -2.193000 0.417139 3 
L J 1.000000 0.800000 0.900000 0.950000 1.000000 0.975000 0.90 -2.265000 0.289277 3 
L J 1.000000 0.800000 0.800000 0.950000 1.000000 0.975000 0.90 -2.089000 0.291695 3 
L J 1.000000 0.900000 0.900000 0.950000 1.000000 0.975000 0.90 -2.393000 0.434007 3 
L J 1.000000 1.000000 1.200000 0.950000 1.000000 0.975000 0.90 -2.161000 0.424367 3 
L J 1.000000 1.000000 1.100000 0.950000 1.000000 0.975000 0.90 -2.233000 0.282110 3 
L J 1.000000 1.000000 1.000000 0.950000 1.000000 0.975000 0.90 -2.089000 0.416458 3 
L J 1.000000 1.000000 0.900000 0.950000 1.000000 0.975000 0.90 -2.281000 0.420240 3 
L J 1.000000 1.000000 0.400000 0.950000 1.000000 0.975000 0.90 -2.393000 0.475989 3 
L J 1.000000 1.000000 0.500000 0.950000 1.000000 0.975000 0.90 -2.289000 0.421819 3 
L J 1.000000 1.000000 0.600000 0.950000 1.000000 0.975000 0.90 -2.377000 0.444685 3 
L J 1.000000 1.000000 0.700000 0.950000 1.000000 0.975000 0.90 -2.473000 0.457147 3 
L J 1.000000 1.000000 0.800000 0.950000 1.000000 0.975000 0.90 -2.289000 0.432407 3 
L J 1.000000 1.000000 1.300000 0.950000 1.000000 0.975000 0.90 -2.225000 0.412658 3 
L J 1.000000 1.000000 1.400000 0.950000 1.000000 0.975000 0.90 -2.137000 0.402713 3 
L J 1.000000 1.000000 1.500000 0.950000 1.000000 0.975000 0.90 -2.137000 0.396353 3 
L J 1.000000 1.000000 1.600000 0.950000 1.000000 0.975000 0.90 -1.888000 0.145873 3 
L J 1.000000 1.000000 1.700000 0.950000 1.000000 0.975000 0.90 -2.073000 0.375013 3 
L J 1.000000 1.000000 1.800000 0.950000 1.000000 0.975000 0.90 -2.257000 0.343170 3 
L J 1.000000 1.000000 1.900000 0.950000 1.000000 0.975000 0.90 -2.329000 0.414913 3 
L J 1.000000 1.000000 2.000000 0.950000 1.000000 0.975000 0.90 -2.105000 0.390594 3 
L J 1.000000 0.900000 0.400000 0.950000 1.000000 0.975000 0.90 -2.345000 0.431356 3 
L J 1.000000 0.900000 0.500000 0.950000 1.000000 0.975000 0.90 -2.497000 0.416305 3 
L J 1.000000 0.900000 0.600000 0.950000 1.000000 0.975000 0.90 -2.225000 0.440406 3 
L J 1.000000 0.900000 0.700000 0.950000 1.000000 0.975000 0.90 -2.129000 0.455355 3 
L J 1.000000 0.900000 0.800000 0.950000 1.000000 0.975000 0.90 -2.241000 0.406514 3 
L J 1.000000 0.900000 1.000000 0.950000 1.000000 0.975000 0.90 -2.385000 0.408979 3 
L J 1.000000 0.900000 1.100000 0.950000 1.000000 0.975000 0.90 -2.209000 0.400130 3 
L J 1.000000 0.900000 1.200000 0.950000 1.000000 0.975000 0.90 -2.321000 0.423746 3 
L J 1.000000 0.900000 1.300000 0.950000 1.000000 0.975000 0.90 -2.209000 0.400857 3 
L J 1.000000 0.900000 1.400000 0.950000 1.000000 0.975000 0.90 -2.081000 0.368467 3 
L J 1.000000 0.900000 1.500000 0.950000 1.000000 0.975000 0.90 -2.241000 0.421096 3 
L J 1.000000 0.900000 1.600000 0.950000 1.000000 0.975000 0.90 -2.273000 0.409507 3 
L J 1.000000 0.900000 1.700000 0.950000 1.000000 0.975000 0.90 -2.425000 0.366282 3 
L J 1.000000 0.900000 1.800000 0.950000 1.000000 0.975000 0.90 -2.209000 0.442570 3 
L J 1.000000 0.900000 1.900000 0.950000 1.000000 0.975000 0.90 -2.145000 0.182279 3 
L J 1.000000 0.800000 0.400000 0.950000 1.000000 0.975000 0.90 -2.393000 0.459624 3 
L J 1.000000 0.800000 0.500000 0.950000 1.000000 0.975000 0.90 -2.417000 0.414944 3 
L J 1.000000 0.800000 0.600000 0.950000 1.000000 0.975000 0.90 -2.457000 0.413159 3 
L J 1.000000 0.800000 0.700000 0.950000 1.000000 0.975000 0.90 -2.489000 0.462916 3 
L J 1.000000 0.800000 1.200000 0.950000 1.000000 0.975000 0.90 -2.225000 0.428789 3 
L J 1.000000 0.800000 1.300000 0.950000 1.000000 0.975000 0.90 -2.201000 0.440537 3 
L J 1.000000 0.800000 1.400000 0.950000 1.000000 0.975000 0.90 -2.393000 0.413911 3 
L J 1.000000 0.800000 1.500000 0.950000 1.000000 0.975000 0.90 -2.425000 0.432366 3 
L J 1.000000 0.800000 1.600000 0.950000 1.000000 0.975000 0.90 -2.225000 0.405872 3 
L J 1.000000 0.800000 1.700000 0.950000 1.000000 0.975000 0.90 -2.008000 0.430153 3 
L J 1.000000 0.800000 1.800000 0.950000 1.000000 0.975000 0.90 -2.193000 0.427843 3 
L J 1.000000 0.700000 0.400000 0.950000 1.000000 0.975000 0.90 -2.353000 0.426395 3 
L J 1.000000 0.700000 0.500000 0.950000 1.000000 0.975000 0.90 -2.570000 0.450655 3 
L J 1.000000 0.700000 0.600000 0.950000 1.000000 0.975000 0.90 -2.257000 0.413498 3 
L J 1.000000 0.700000 0.700000 0.950000 1.000000 0.975000 0.90 -2.369000 0.453337 3 
L J 1.000000 0.700000 1.100000 0.950000 1.000000 0.975000 0.90 -2.161000 0.406668 3 
L J 1.000000 0.700000 1.200000 0.950000 1.000000 0.975000 0.90 -2.057000 0.410027 3 
L J 1.000000 0.700000 1.300000 0.950000 1.000000 0.975000 0.90 -2.265000 0.403308 3 
L J 1.000000 0.700000 1.400000 0.950000 1.000000 0.975000 0.90 -2.369000 0.428255 3 
L J 1.000000 0.700000 1.500000 0.950000 1.000000 0.975000 0.90 -2.177000 0.407657 3 
L J 1.000000 0.700000 1.600000 0.950000 1.000000 0.975000 0.90 -2.249000 0.431477 3 
L J 1.000000 0.700000 1.700000 0.950000 1.000000 0.975000 0.90 -2.321000 0.435341 3 
L J 1.000000 0.600000 0.300000 0.950000 1.000000 0.975000 0.90 -2.722000 0.461298 3 
L J 1.000000 0.600000 0.400000 0.950000 1.000000 0.975000 0.90 -2.449000 0.458131 3 
L J 1.000000 0.600000 0.500000 0.950000 1.000000 0.975000 0.90 -2.449000 0.463900 3 
L J 1.000000 0.600000 0.600000 0.950000 1.000000 0.975000 0.90 -2.305000 0.377645 3 
L J 1.000000 0.600000 0.700000 0.950000 1.000000 0.975000 0.90 -2.065000 0.430277 3 
L J 1.000000 0.600000 0.800000 0.950000 1.000000 0.975000 0.90 -2.473000 0.444474 3 
L J 1.000000 0.600000 0.900000 0.950000 1.000000 0.975000 0.90 -2.313000 0.423143 3 
L J 1.000000 0.600000 1.100000 0.950000 1.000000 0.975000 0.90 -2.297000 0.409508 3 
L J 1.000000 0.600000 1.200000 0.950000 1.000000 0.975000 0.90 -2.113000 0.388409 3 
L J 1.000000 0.600000 1.300000 0.950000 1.000000 0.975000 0.90 -2.265000 0.449111 3 
L J 1.000000 0.600000 1.400000 0.950000 1.000000 0.975000 0.90 -2.425000 0.439439 3 
L J 1.000000 0.600000 1.500000 0.950000 1.000000 0.975000 0.90 -2.113000 0.428961 3 
L J 1.000000 0.600000 1.600000 0.950000 1.000000 0.975000 0.90 -2.225000 0.430400 3 
L J 1.000000 0.500000 0.300000 0.950000 1.000000 0.975000 0.90 -2.393000 0.460623 3 
L J 1.000000 0.500000 0.400000 0.950000 1.000000 0.975000 0.90 -2.393000 0.447442 3 
L J 1.000000 0.500000 0.500000 0.950000 1.000000 0.975000 0.90 -2.377000 0.446979 3 
L J 1.000000 0.500000 0.600000 0.950000 1.000000 0.975000 0.90 -2.313000 0.374356 3 
L J 1.000000 0.500000 1.000000 0.950000 1.000000 0.975000 0.90 -2.209000 0.444914 3 
L J 1.000000 0.500000 1.100000 0.950000 1.000000 0.975000 0.90 -2.097000 0.440344 3 
L J 1.000000 0.500000 1.200000 0.950000 1.000000 0.975000 0.90 -2.433000 0.469383 3 
L J 1.000000 0.500000 1.300000 0.950000 1.000000 0.975000 0.90 -2.425000 0.455967 3 
L J 1.000000 0.500000 1.400000 0.950000 1.000000 0.975000 0.90 -2.449000 0.461236 3 
L J 1.000000 0.500000 1.500000 0.950000 1.000000 0.975000 0.90 -2.201000 0.442307 3 
L J 1.000000 0.400000 0.300000 0.950000 1.000000 0.975000 0.90 -2.465000 0.429906 3 
L J 1.000000 0.400000 0.400000 0.950000 1.000000 0.975000 0.90 -2.425000 0.431649 3 
L J 1.000000 0.400000 0.500000 0.950000 1.000000 0.975000 0.90 -2.401000 0.426711 3 
L J 1.000000 0.400000 0.900000 0.950000 1.000000 0.975000 0.90 -2.377000 0.424657 3 
L J 1.000000 0.400000 1.100000 0.950000 1.000000 0.975000 0.90 -2.546000 0.441898 3 
L J 1.000000 0.400000 1.200000 0.950000 1.000000 0.975000 0.90 -2.377000 0.417019 3 
L J 1.000000 0.400000 1.300000 0.950000 1.000000 0.975000 0.90 -2.489000 0.493750 3 
L J 1.000000 0.400000 1.400000 0.950000 1.000000 0.975000 0.90 -2.786000 0.453217 3 
L J 1.000000 0.300000 0.300000 0.950000 1.000000 0.975000 0.90 -2.425000 0.443964 3 
L J 1.000000 0.300000 0.400000 0.950000 1.000000 0.975000 0.90 -2.313000 0.410975 3 
L J 1.000000 0.300000 0.500000 0.950000 1.000000 0.975000 0.90 -2.546000 0.441137 3 
L J 1.000000 0.300000 1.000000 0.950000 1.000000 0.975000 0.90 -2.449000 0.460322 3 
L J 1.000000 0.300000 1.100000 0.950000 1.000000 0.975000 0.90 -3.002000 0.446864 3 
L J 1.000000 0.300000 1.200000 0.950000 1.000000 0.975000 0.90 -2.898000 0.477901 3 
L J 1.000000 0.300000 1.300000 0.950000 1.000000 0.975000 0.90 -3.395000 0.486635 3 
L J 1.000000 0.200000 0.300000 0.950000 1.000000 0.975000 0.90 -2.586000 0.441181 3 
L J 1.000000 0.200000 0.400000 0.950000 1.000000 0.975000 0.90 -2.586000 0.455694 3 
L J 1.000000 0.200000 0.900000 0.950000 1.000000 0.975000 0.90 -3.411000 0.492971 3 
L J 1.000000 0.200000 1.000000 0.950000 1.000000 0.975000 0.90 -3.636000 0.496417 3 
L J 1.000000 0.200000 1.100000 0.950000 1.000000 0.975000 0.90 -4.125000 0.489798 3 
L J 1.000000 0.200000 1.200000 0.950000 1.000000 0.975000 0.90 -6.000000 0.511120 3 
L J 1.000000 1.000000 2.250000 0.950000 1.000000 0.975000 0.90 -2.225000 0.403979 3 
L J 1.000000 1.000000 2.500000 0.950000 1.000000 0.975000 0.90 -2.289000 0.433016 3 
L J 1.000000 1.000000 3.000000 0.950000 1.000000 0.975000 0.90 -2.409000 0.419374 3 
L J 1.000000 1.000000 3.500000 0.950000 1.000000 0.975000 0.90 -2.425000 0.451413 3 
L J 1.000000 1.000000 4.000000 0.950000 1.000000 0.975000 0.90 -2.401000 0.436056 3 
L J 1.000000 1.000000 4.500000 0.950000 1.000000 0.975000 0.90 -3.010000 0.455072 3 
L J 1.000000 1.000000 5.000000 0.950000 1.000000 0.975000 0.90 -3.091000 0.517191 3 
L J 1.000000 0.800000 2.000000 0.950000 1.000000 0.975000 0.90 -2.073000 0.410888 3 
L J 1.000000 0.800000 2.250000 0.950000 1.000000 0.975000 0.90 -2.000000 0.334387 3 
L J 1.000000 0.800000 2.750000 0.950000 1.000000 0.975000 0.90 -2.393000 0.451445 3 
L J 1.000000 0.800000 3.250000 0.950000 1.000000 0.975000 0.90 -2.762000 0.449975 3 
L J 1.000000 0.800000 3.750000 0.950000 1.000000 0.975000 0.90 -3.235000 0.473237 3 
L J 1.000000 0.800000 4.250000 0.950000 1.000000 0.975000 0.90 -2.986000 0.496689 3 
L J 1.000000 0.800000 4.500000 0.950000 1.000000 0.975000 0.90 -3.379000 0.505975 3 
L J 1.000000 0.600000 1.800000 0.950000 1.000000 0.975000 0.90 -2.369000 0.481254 3 
L J 1.000000 0.600000 2.000000 0.950000 1.000000 0.975000 0.90 -2.265000 0.436242 3 
L J 1.000000 0.600000 2.500000 0.950000 1.000000 0.975000 0.90 -2.706000 0.502322 3 
L J 1.000000 0.600000 3.000000 0.950000 1.000000 0.975000 0.90 -3.099000 0.503935 3 
L J 1.000000 0.600000 3.500000 0.950000 1.000000 0.975000 0.90 -4.237000 0.515282 3 
L J 1.000000 0.600000 4.000000 0.950000 1.000000 0.975000 0.90 -4.245000 0.514121 3 
L J 1.000000 0.400000 1.600000 0.950000 1.000000 0.975000 0.90 -2.914000 0.472442 3 
L J 1.000000 0.400000 1.800000 0.950000 1.000000 0.975000 0.90 -3.179000 0.463924 3 
L J 1.000000 0.400000 2.250000 0.950000 1.000000 0.975000 0.90 -3.564000 0.504974 3 
L J 1.000000 0.400000 2.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.518674 3 
L J 1.000000 0.400000 3.250000 0.950000 1.000000 0.975000 0.90 -6.000000 0.532740 3 
L J 1.000000 0.400000 3.500000 0.950000 1.000000 0.975000 0.90 -6.000000 0.533156 3 
L J 1.000000 0.300000 1.500000 0.950000 1.000000 0.975000 0.90 -3.483000 0.506119 3 
L J 1.000000 0.300000 1.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.497284 3 
L J 1.000000 0.300000 2.250000 0.950000 1.000000 0.975000 0.90 -6.000000 0.521955 3 
L J 1.000000 0.300000 2.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.540351 3 
L J 1.000000 0.300000 3.250000 0.950000 1.000000 0.975000 0.90 -6.000000 0.545443 3 
L J 1.000000 0.200000 1.500000 0.950000 1.000000 0.975000 0.90 -6.000000 0.505668 3 
L J 1.000000 0.200000 1.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.517966 3 
L J 1.000000 0.200000 2.250000 0.950000 1.000000 0.975000 0.90 -6.000000 0.537055 3 
L J 1.000000 0.200000 2.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.541781 3 
L J 1.000000 0.200000 3.000000 0.950000 1.000000 0.975000 0.90 -6.000000 0.547420 3 
L J 1.000000 0.100000 0.300000 0.950000 1.000000 0.975000 0.90 -2.962000 0.474091 3 
L J 1.000000 0.100000 0.500000 0.950000 1.000000 0.975000 0.90 -3.540000 0.495796 3 
L J 1.000000 0.100000 0.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.513363 3 
L J 1.000000 0.100000 1.000000 0.950000 1.000000 0.975000 0.90 -6.000000 0.535602 3 
L J 1.000000 0.100000 1.250000 0.950000 1.000000 0.975000 0.90 -6.000000 0.553410 3 
L J 1.000000 0.100000 1.500000 0.950000 1.000000 0.975000 0.90 -6.000000 0.518571 3 
L J 1.000000 0.100000 1.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.542920 3 
L J 1.000000 0.100000 2.000000 0.950000 1.000000 0.975000 0.90 -6.000000 0.550660 3 
L J 1.000000 0.100000 2.250000 0.950000 1.000000 0.975000 0.90 -6.000000 0.545919 3 
L J 1.000000 0.100000 2.500000 0.950000 1.000000 0.975000 0.90 -6.000000 0.550946 3 
L J 1.000000 0.100000 2.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.548251 3 
L J 1.000000 0.050000 0.300000 0.950000 1.000000 0.975000 0.90 -3.427000 0.489119 3 
L J 1.000000 0.050000 0.500000 0.950000 1.000000 0.975000 0.90 -6.000000 0.521446 3 
L J 1.000000 0.050000 0.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.540965 3 
L J 1.000000 0.050000 1.000000 0.950000 1.000000 0.975000 0.90 -6.000000 0.540055 3 
L J 1.000000 0.050000 1.250000 0.950000 1.000000 0.975000 0.90 -6.000000 0.540586 3 
L J 1.000000 0.050000 1.500000 0.950000 1.000000 0.975000 0.90 -6.000000 0.558896 3 
L J 1.000000 0.050000 1.750000 0.950000 1.000000 0.975000 0.90 -6.000000 0.562467 3 
L J 1.000000 0.050000 2.000000 0.950000 1.000000 0.975000 0.90 -6.000000 0.545533 3 
L J 1.000000 0.050000 2.250000 0.950000 1.000000 0.975000 0.90 -6.000000 0.546452 3 
L J 1.000000 0.050000 2.500000 0.950000 1.000000 0.975000 0.90 -6.000000 0.578301 3 
L J 1.000000 0.200000 0.800000 1.000000 0.950000 0.975000 0.10 -2.337000 0.433010 2 
L J 1.000000 0.200000 0.750000 1.000000 0.950000 0.975000 0.10 -2.409000 0.461589 2 
L J 1.000000 0.200000 0.700000 1.000000 0.950000 0.975000 0.10 -2.473000 0.394816 2 
L J 1.000000 0.200000 0.650000 1.000000 0.950000 0.975000 0.10 -2.546000 0.447221 2 
L J 1.000000 0.200000 0.600000 1.000000 0.950000 0.975000 0.10 -2.273000 0.463953 2 
L J 1.000000 0.200000 0.500000 1.000000 0.950000 0.975000 0.10 -2.674000 0.459655 2 
L J 1.000000 0.250000 0.900000 1.000000 0.950000 0.975000 0.10 -2.449000 0.451510 2 
L J 1.000000 0.250000 0.850000 1.000000 0.950000 0.975000 0.10 -2.385000 0.408991 2 
L J 1.000000 0.250000 0.800000 1.000000 0.950000 0.975000 0.10 -2.449000 0.438665 2 
L J 1.000000 0.250000 0.750000 1.000000 0.950000 0.975000 0.10 -2.185000 0.415350 2 
L J 1.000000 0.250000 0.700000 1.000000 0.950000 0.975000 0.10 -2.698000 0.452743 2 
L J 1.000000 0.250000 0.650000 1.000000 0.950000 0.975000 0.10 -2.377000 0.445487 2 
L J 1.000000 0.250000 0.600000 1.000000 0.950000 0.975000 0.10 -2.465000 0.444914 2 
L J 1.000000 0.250000 0.550000 1.000000 0.950000 0.975000 0.10 -2.393000 0.465362 2 
L J 1.000000 0.300000 0.950000 1.000000 0.950000 0.975000 0.10 -2.233000 0.474212 2 
L J 1.000000 0.300000 0.900000 1.000000 0.950000 0.975000 0.10 -2.016000 0.437028 2 
L J 1.000000 0.300000 0.850000 1.000000 0.950000 0.975000 0.10 -2.016000 0.467457 2 
L J 1.000000 0.300000 0.800000 1.000000 0.950000 0.975000 0.10 -2.329000 0.446723 2 
L J 1.000000 0.300000 0.750000 1.000000 0.950000 0.975000 0.10 -2.610000 0.474350 2 
L J 1.000000 0.300000 0.700000 1.000000 0.950000 0.975000 0.10 -2.401000 0.434003 2 
L J 1.000000 0.300000 0.600000 1.000000 0.950000 0.975000 0.10 -2.361000 0.442415 2 
L J 1.000000 0.300000 0.550000 1.000000 0.950000 0.975000 0.10 -2.449000 0.473003 2 
L J 1.000000 0.350000 0.950000 1.000000 0.950000 0.975000 0.10 -2.265000 0.426370 2 
L J 1.000000 0.350000 0.900000 1.000000 0.950000 0.975000 0.10 -2.153000 0.421052 2 
L J 1.000000 0.350000 0.850000 1.000000 0.950000 0.975000 0.10 -2.217000 0.452018 2 
L J 1.000000 0.350000 0.800000 1.000000 0.950000 0.975000 0.10 -2.225000 0.431013 2 
L J 1.000000 0.350000 0.750000 1.000000 0.950000 0.975000 0.10 -2.385000 0.441107 2 
L J 1.000000 0.350000 0.700000 1.000000 0.950000 0.975000 0.10 -2.265000 0.454426 2 
L J 1.000000 0.350000 0.650000 1.000000 0.950000 0.975000 0.10 -2.706000 0.455219 2 
L J 1.000000 0.350000 0.600000 1.000000 0.950000 0.975000 0.10 -2.409000 0.464541 2 
L J 1.000000 0.400000 1.000000 1.000000 0.950000 0.975000 0.10 -2.241000 0.279802 2 
L J 1.000000 0.400000 0.850000 1.000000 0.950000 0.975000 0.10 -2.313000 0.452788 2 
L J 1.000000 0.400000 0.800000 1.000000 0.950000 0.975000 0.10 -2.273000 0.454392 2 
L J 1.000000 0.400000 0.750000 1.000000 0.950000 0.975000 0.10 -2.618000 0.442550 2 
L J 1.000000 0.400000 0.700000 1.000000 0.950000 0.975000 0.10 -2.353000 0.468378 2 
L J 1.000000 0.400000 0.650000 1.000000 0.950000 0.975000 0.10 -2.457000 0.464936 2 
L J 1.000000 0.400000 0.600000 1.000000 0.950000 0.975000 0.10 -2.401000 0.434227 2 
L J 1.000000 0.450000 0.900000 1.000000 0.950000 0.975000 0.10 -2.337000 0.428339 2 
L J 1.000000 0.450000 0.850000 1.000000 0.950000 0.975000 0.10 -2.441000 0.456774 2 
L J 1.000000 0.450000 0.800000 1.000000 0.950000 0.975000 0.10 -2.425000 0.426976 2 
L J 1.000000 0.450000 0.750000 1.000000 0.950000 0.975000 0.10 -2.441000 0.460839 2 
L J 1.000000 0.450000 0.700000 1.000000 0.950000 0.975000 0.10 -2.618000 0.441133 2 
L J 1.000000 0.450000 0.650000 1.000000 0.950000 0.975000 0.10 -2.489000 0.469669 2 
L J 1.000000 0.500000 0.900000 1.000000 0.950000 0.975000 0.10 -2.465000 0.434971 2 
L J 1.000000 0.500000 0.800000 1.000000 0.950000 0.975000 0.10 -2.185000 0.447344 2 
L J 1.000000 0.500000 0.700000 1.000000 0.950000 0.975000 0.10 -2.353000 0.457643 2 
L J 1.000000 0.600000 1.000000 1.000000 0.950000 0.975000 0.10 -2.297000 0.460753 2 
L J 1.000000 0.700000 1.000000 1.000000 0.950000 0.975000 0.10 -2.297000 0.421856 2 
L J 1.000000 0.700000 0.900000 1.000000 0.950000 0.975000 0.10 -2.185000 0.427744 2 
L J 1.000000 0.700000 0.800000 1.000000 0.950000 0.975000 0.10 -2.481000 0.361487 2 
L J 1.000000 0.800000 1.100000 1.000000 0.950000 0.975000 0.10 -2.265000 0.426246 2 
L J 1.000000 0.800000 1.000000 1.000000 0.950000 0.975000 0.10 -2.257000 0.362168 2 
L J 1.000000 0.800000 0.900000 1.000000 0.950000 0.975000 0.10 -2.473000 0.433122 2 
